Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 51 PDFs in set CT10nnlo
CT10nnlo, version 1; 51 PDF members
LHAPDF 6.1.3 loading all 21 PDFs in set HERAPDF15NLO_EIG
HERAPDF15NLO_EIG, version 1; 21 PDF members
1.00e+02	 7.3489e-37
2.00e+02	 1.4237e-36
5.00e+02	 3.4150e-36
1.00e+03	 6.5751e-36
2.00e+03	 1.2467e-35
5.00e+03	 2.7809e-35
1.00e+04	 4.8626e-35
2.00e+04	 8.0947e-35
5.00e+04	 1.4761e-34
1.00e+05	 2.2212e-34
2.00e+05	 3.2452e-34
5.00e+05	 5.1816e-34
1.00e+06	 7.2411e-34
2.00e+06	 9.9803e-34
5.00e+06	 1.4961e-33
1.00e+07	 2.0033e-33
2.00e+07	 2.6467e-33
5.00e+07	 3.7324e-33
1.00e+08	 4.7274e-33
2.00e+08	 5.8313e-33
5.00e+08	 7.3332e-33
1.00e+09	 8.4081e-33
2.00e+09	 9.3924e-33
5.00e+09	 1.0564e-32
1.00e+10	 1.1389e-32
2.00e+10	 1.2200e-32
5.00e+10	 1.3288e-32
1.00e+11	 1.4161e-32
2.00e+11	 1.5120e-32
5.00e+11	 1.6454e-32
1.00e+12	 1.7581e-32
2.00e+12	 1.8844e-32
5.00e+12	 2.0586e-32
1.00e+13	 2.2080e-32
2.00e+13	 2.3613e-32
5.00e+13	 2.5843e-32
