Energy [GeV]	 Cross Section [cm2]
1.00e+02	 1.2815e-30
2.00e+02	 1.5449e-30
5.00e+02	 1.9749e-30
1.00e+03	 2.3747e-30
2.00e+03	 2.8512e-30
5.00e+03	 3.6216e-30
1.00e+04	 4.3298e-30
2.00e+04	 5.1645e-30
5.00e+04	 6.4932e-30
1.00e+05	 7.6939e-30
2.00e+05	 9.0856e-30
5.00e+05	 1.1253e-29
1.00e+06	 1.3167e-29
2.00e+06	 1.5336e-29
5.00e+06	 1.8624e-29
1.00e+07	 2.1446e-29
2.00e+07	 2.4564e-29
5.00e+07	 2.9149e-29
1.00e+08	 3.2966e-29
2.00e+08	 3.7075e-29
5.00e+08	 4.2937e-29
1.00e+09	 4.7678e-29
2.00e+09	 5.2660e-29
5.00e+09	 5.9584e-29
1.00e+10	 6.5046e-29
2.00e+10	 7.0673e-29
5.00e+10	 7.8328e-29
1.00e+11	 8.4253e-29
2.00e+11	 9.0267e-29
5.00e+11	 9.8326e-29
1.00e+12	 1.0448e-28
2.00e+12	 1.1066e-28
5.00e+12	 1.1887e-28
1.00e+13	 1.2509e-28
2.00e+13	 1.3130e-28
5.00e+13	 1.3950e-28
