Energy [GeV]	 Cross Section [cm2]
1.00e+02	 3.6817e-31
2.00e+02	 6.2440e-31
5.00e+02	 1.0994e-30
1.00e+03	 1.5664e-30
2.00e+03	 2.1274e-30
5.00e+03	 3.0157e-30
1.00e+04	 3.8005e-30
2.00e+04	 4.6842e-30
5.00e+04	 6.0061e-30
1.00e+05	 7.1234e-30
2.00e+05	 8.3425e-30
5.00e+05	 1.0111e-29
1.00e+06	 1.1567e-29
2.00e+06	 1.3126e-29
5.00e+06	 1.5344e-29
1.00e+07	 1.7141e-29
2.00e+07	 1.9041e-29
5.00e+07	 2.1710e-29
1.00e+08	 2.3848e-29
2.00e+08	 2.6089e-29
5.00e+08	 2.9208e-29
1.00e+09	 3.1687e-29
2.00e+09	 3.4269e-29
5.00e+09	 3.7839e-29
1.00e+10	 4.0659e-29
2.00e+10	 4.3582e-29
5.00e+10	 4.7603e-29
1.00e+11	 5.0764e-29
2.00e+11	 5.4028e-29
5.00e+11	 5.8500e-29
1.00e+12	 6.2002e-29
2.00e+12	 6.5607e-29
5.00e+12	 7.0530e-29
1.00e+13	 7.4373e-29
2.00e+13	 7.8318e-29
5.00e+13	 8.3692e-29
