Energy [GeV]	 Cross Section [cm2]
1.00e+02	 9.5913e-31
2.00e+02	 1.3705e-30
5.00e+02	 1.9759e-30
1.00e+03	 2.4768e-30
2.00e+03	 3.0146e-30
5.00e+03	 3.7844e-30
1.00e+04	 4.4144e-30
2.00e+04	 5.0889e-30
5.00e+04	 6.0545e-30
1.00e+05	 6.8463e-30
2.00e+05	 7.6956e-30
5.00e+05	 8.9147e-30
1.00e+06	 9.9158e-30
2.00e+06	 1.0991e-29
5.00e+06	 1.2536e-29
1.00e+07	 1.3805e-29
2.00e+07	 1.5166e-29
5.00e+07	 1.7120e-29
1.00e+08	 1.8720e-29
2.00e+08	 2.0434e-29
5.00e+08	 2.2882e-29
1.00e+09	 2.4878e-29
2.00e+09	 2.7004e-29
5.00e+09	 3.0023e-29
1.00e+10	 3.2467e-29
2.00e+10	 3.5053e-29
5.00e+10	 3.8692e-29
1.00e+11	 4.1612e-29
2.00e+11	 4.4678e-29
5.00e+11	 4.8949e-29
1.00e+12	 5.2344e-29
2.00e+12	 5.5877e-29
5.00e+12	 6.0751e-29
1.00e+13	 6.4587e-29
2.00e+13	 6.8544e-29
5.00e+13	 7.3954e-29
