Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 51 PDFs in set CT10nnlo
CT10nnlo, version 1; 51 PDF members
1.00e+02	 7.3757e-37
2.00e+02	 1.4268e-36
5.00e+02	 3.4191e-36
1.00e+03	 6.5824e-36
2.00e+03	 1.2486e-35
5.00e+03	 2.7885e-35
1.00e+04	 4.8839e-35
2.00e+04	 8.1489e-35
5.00e+04	 1.4920e-34
1.00e+05	 2.2536e-34
2.00e+05	 3.3054e-34
5.00e+05	 5.3036e-34
1.00e+06	 7.4362e-34
2.00e+06	 1.0281e-33
5.00e+06	 1.5479e-33
1.00e+07	 2.0823e-33
2.00e+07	 2.7707e-33
5.00e+07	 3.9764e-33
1.00e+08	 5.1583e-33
2.00e+08	 6.6058e-33
5.00e+08	 8.9718e-33
1.00e+09	 1.1135e-32
2.00e+09	 1.3663e-32
5.00e+09	 1.7592e-32
1.00e+10	 2.1043e-32
2.00e+10	 2.4957e-32
5.00e+10	 3.0856e-32
1.00e+11	 3.5879e-32
2.00e+11	 4.1467e-32
5.00e+11	 4.9743e-32
1.00e+12	 5.6694e-32
2.00e+12	 6.4232e-32
5.00e+12	 7.5241e-32
1.00e+13	 8.4124e-32
2.00e+13	 9.4305e-32
5.00e+13	 1.0833e-31
