Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 51 PDFs in set CT10nnlo
CT10nnlo, version 1; 51 PDF members
1.00e+02	 2.3203e-37
2.00e+02	 4.4965e-37
5.00e+02	 1.0817e-36
1.00e+03	 2.0935e-36
2.00e+03	 4.0054e-36
5.00e+03	 9.1147e-36
1.00e+04	 1.6277e-35
2.00e+04	 2.7759e-35
5.00e+04	 5.2266e-35
1.00e+05	 8.0403e-35
2.00e+05	 1.1979e-34
5.00e+05	 1.9566e-34
1.00e+06	 2.7775e-34
2.00e+06	 3.8881e-34
5.00e+06	 5.9635e-34
1.00e+07	 8.1669e-34
2.00e+07	 1.1132e-33
5.00e+07	 1.6782e-33
1.00e+08	 2.3054e-33
2.00e+08	 3.1968e-33
5.00e+08	 4.9741e-33
1.00e+09	 6.9347e-33
2.00e+09	 9.5034e-33
5.00e+09	 1.3956e-32
1.00e+10	 1.8079e-32
2.00e+10	 2.2869e-32
5.00e+10	 3.0296e-32
1.00e+11	 3.6714e-32
2.00e+11	 4.3856e-32
5.00e+11	 5.4436e-32
1.00e+12	 6.3380e-32
2.00e+12	 7.3019e-32
5.00e+12	 8.7346e-32
1.00e+13	 9.9159e-32
2.00e+13	 1.1136e-31
5.00e+13	 1.3032e-31
