Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 53 PDFs in set CT10nlo
CT10nlo, version 4; 53 PDF members
1.00e+02	 2.6863e-29
2.00e+02	 4.7375e-29
5.00e+02	 9.0506e-29
1.00e+03	 1.3883e-28
2.00e+03	 2.0420e-28
5.00e+03	 3.2304e-28
1.00e+04	 4.4342e-28
2.00e+04	 5.9580e-28
5.00e+04	 8.5889e-28
1.00e+05	 1.1142e-27
2.00e+05	 1.4296e-27
5.00e+05	 1.9587e-27
1.00e+06	 2.4611e-27
2.00e+06	 3.0714e-27
5.00e+06	 4.0777e-27
1.00e+07	 5.0200e-27
2.00e+07	 6.1472e-27
5.00e+07	 7.9744e-27
1.00e+08	 9.6563e-27
2.00e+08	 1.1645e-26
5.00e+08	 1.4806e-26
1.00e+09	 1.7675e-26
2.00e+09	 2.1008e-26
5.00e+09	 2.6228e-26
1.00e+10	 3.0884e-26
2.00e+10	 3.6223e-26
5.00e+10	 4.4480e-26
1.00e+11	 5.1712e-26
2.00e+11	 5.9919e-26
5.00e+11	 7.2428e-26
1.00e+12	 8.3284e-26
2.00e+12	 9.5458e-26
5.00e+12	 1.1385e-25
1.00e+13	 1.2967e-25
2.00e+13	 1.4736e-25
5.00e+13	 1.7373e-25
