Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 53 PDFs in set CT10nlo
CT10nlo, version 4; 53 PDF members
1.00e+02	 6.7368e-30
2.00e+02	 1.5582e-29
5.00e+02	 3.9906e-29
1.00e+03	 7.3388e-29
2.00e+03	 1.2553e-28
5.00e+03	 2.3249e-28
1.00e+04	 3.4991e-28
2.00e+04	 5.0576e-28
5.00e+04	 7.8174e-28
1.00e+05	 1.0519e-27
2.00e+05	 1.3823e-27
5.00e+05	 1.9244e-27
1.00e+06	 2.4229e-27
2.00e+06	 3.0079e-27
5.00e+06	 3.9263e-27
1.00e+07	 4.7451e-27
2.00e+07	 5.6793e-27
5.00e+07	 7.1106e-27
1.00e+08	 8.3616e-27
2.00e+08	 9.7684e-27
5.00e+08	 1.1895e-26
1.00e+09	 1.3722e-26
2.00e+09	 1.5767e-26
5.00e+09	 1.8821e-26
1.00e+10	 2.1423e-26
2.00e+10	 2.4327e-26
5.00e+10	 2.8634e-26
1.00e+11	 3.2296e-26
2.00e+11	 3.6322e-26
5.00e+11	 4.2305e-26
1.00e+12	 4.7318e-26
2.00e+12	 5.2914e-26
5.00e+12	 6.1081e-26
1.00e+13	 6.8065e-26
2.00e+13	 7.5680e-26
5.00e+13	 8.6895e-26
