Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 53 PDFs in set CT10nlo
CT10nlo, version 4; 53 PDF members
1.00e+02	 1.6305e-29
2.00e+02	 3.3333e-29
5.00e+02	 7.3327e-29
1.00e+03	 1.2144e-28
2.00e+03	 1.8910e-28
5.00e+03	 3.1510e-28
1.00e+04	 4.4306e-28
2.00e+04	 6.0431e-28
5.00e+04	 8.7637e-28
1.00e+05	 1.1339e-27
2.00e+05	 1.4428e-27
5.00e+05	 1.9425e-27
1.00e+06	 2.4003e-27
2.00e+06	 2.9371e-27
5.00e+06	 3.7893e-27
1.00e+07	 4.5586e-27
2.00e+07	 5.4475e-27
5.00e+07	 6.8442e-27
1.00e+08	 8.0870e-27
2.00e+08	 9.5221e-27
5.00e+08	 1.1754e-26
1.00e+09	 1.3722e-26
2.00e+09	 1.5975e-26
5.00e+09	 1.9452e-26
1.00e+10	 2.2499e-26
2.00e+10	 2.5955e-26
5.00e+10	 3.1233e-26
1.00e+11	 3.5810e-26
2.00e+11	 4.0992e-26
5.00e+11	 4.8823e-26
1.00e+12	 5.5610e-26
2.00e+12	 6.3197e-26
5.00e+12	 7.4604e-26
1.00e+13	 8.4376e-26
2.00e+13	 9.5300e-26
5.00e+13	 1.1163e-25
