Energy [GeV]	 Cross Section [cm2]
1.00e+02	 1.0204e-30
2.00e+02	 1.3977e-30
5.00e+02	 1.9565e-30
1.00e+03	 2.4299e-30
2.00e+03	 2.9528e-30
5.00e+03	 3.7311e-30
1.00e+04	 4.3950e-30
2.00e+04	 5.1324e-30
5.00e+04	 6.2346e-30
1.00e+05	 7.1770e-30
2.00e+05	 8.2235e-30
5.00e+05	 9.7840e-30
1.00e+06	 1.1112e-29
2.00e+06	 1.2577e-29
5.00e+06	 1.4742e-29
1.00e+07	 1.6563e-29
2.00e+07	 1.8551e-29
5.00e+07	 2.1443e-29
1.00e+08	 2.3837e-29
2.00e+08	 2.6411e-29
5.00e+08	 3.0089e-29
1.00e+09	 3.3078e-29
2.00e+09	 3.6239e-29
5.00e+09	 4.0673e-29
1.00e+10	 4.4211e-29
2.00e+10	 4.7897e-29
5.00e+10	 5.2978e-29
1.00e+11	 5.6965e-29
2.00e+11	 6.1064e-29
5.00e+11	 6.6634e-29
1.00e+12	 7.0950e-29
2.00e+12	 7.5335e-29
5.00e+12	 8.1231e-29
1.00e+13	 8.5743e-29
2.00e+13	 9.0301e-29
5.00e+13	 9.6371e-29
