Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 7.4097e-37
2.00e+02	 1.4358e-36
5.00e+02	 3.4373e-36
1.00e+03	 6.5974e-36
2.00e+03	 1.2452e-35
5.00e+03	 2.7523e-35
1.00e+04	 4.7619e-35
2.00e+04	 7.8045e-35
5.00e+04	 1.3768e-34
1.00e+05	 1.9932e-34
2.00e+05	 2.7625e-34
5.00e+05	 4.0371e-34
1.00e+06	 5.2528e-34
2.00e+06	 6.7566e-34
5.00e+06	 9.3313e-34
1.00e+07	 1.1883e-33
2.00e+07	 1.5096e-33
5.00e+07	 2.0419e-33
1.00e+08	 2.5407e-33
2.00e+08	 3.1332e-33
5.00e+08	 4.0791e-33
1.00e+09	 4.9385e-33
2.00e+09	 5.9107e-33
5.00e+09	 7.4154e-33
1.00e+10	 8.7188e-33
2.00e+10	 1.0145e-32
5.00e+10	 1.2349e-32
1.00e+11	 1.4179e-32
2.00e+11	 1.6263e-32
5.00e+11	 1.9270e-32
1.00e+12	 2.1692e-32
2.00e+12	 2.4510e-32
5.00e+12	 2.8363e-32
