Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 51 PDFs in set CT10nnlo
CT10nnlo, version 1; 51 PDF members
LHAPDF 6.1.3 loading all 21 PDFs in set HERAPDF15NLO_EIG
HERAPDF15NLO_EIG, version 1; 21 PDF members
1.00e+02	 7.3482e-37
2.00e+02	 1.4236e-36
5.00e+02	 3.4147e-36
1.00e+03	 6.5745e-36
2.00e+03	 1.2466e-35
5.00e+03	 2.7806e-35
1.00e+04	 4.8620e-35
2.00e+04	 8.0935e-35
5.00e+04	 1.4758e-34
1.00e+05	 2.2207e-34
2.00e+05	 3.2442e-34
5.00e+05	 5.1787e-34
1.00e+06	 7.2370e-34
2.00e+06	 9.9767e-34
5.00e+06	 1.4974e-33
1.00e+07	 2.0104e-33
2.00e+07	 2.6720e-33
5.00e+07	 3.8348e-33
1.00e+08	 4.9846e-33
2.00e+08	 6.4103e-33
5.00e+08	 8.7671e-33
1.00e+09	 1.0888e-32
2.00e+09	 1.3206e-32
5.00e+09	 1.6299e-32
1.00e+10	 1.8447e-32
2.00e+10	 2.0337e-32
5.00e+10	 2.2452e-32
1.00e+11	 2.3834e-32
2.00e+11	 2.5104e-32
5.00e+11	 2.6726e-32
1.00e+12	 2.7959e-32
2.00e+12	 2.9266e-32
5.00e+12	 3.1047e-32
1.00e+13	 3.2554e-32
2.00e+13	 3.4126e-32
5.00e+13	 3.6424e-32
