Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 51 PDFs in set CT10nnlo
CT10nnlo, version 1; 51 PDF members
LHAPDF 6.1.3 loading all 21 PDFs in set HERAPDF15NLO_EIG
HERAPDF15NLO_EIG, version 1; 21 PDF members
1.00e+02	 2.3130e-37
2.00e+02	 4.4885e-37
5.00e+02	 1.0810e-36
1.00e+03	 2.0928e-36
2.00e+03	 4.0041e-36
5.00e+03	 9.1072e-36
1.00e+04	 1.6250e-35
2.00e+04	 2.7676e-35
5.00e+04	 5.1968e-35
1.00e+05	 7.9714e-35
2.00e+05	 1.1833e-34
5.00e+05	 1.9215e-34
1.00e+06	 2.7132e-34
2.00e+06	 3.7731e-34
5.00e+06	 5.7141e-34
1.00e+07	 7.7020e-34
2.00e+07	 1.0237e-33
5.00e+07	 1.4542e-33
1.00e+08	 1.8514e-33
2.00e+08	 2.2938e-33
5.00e+08	 2.8877e-33
1.00e+09	 3.2912e-33
2.00e+09	 3.6217e-33
5.00e+09	 3.9395e-33
1.00e+10	 4.1011e-33
2.00e+10	 4.2118e-33
5.00e+10	 4.3069e-33
1.00e+11	 4.3541e-33
2.00e+11	 4.3890e-33
5.00e+11	 4.4252e-33
1.00e+12	 4.4492e-33
2.00e+12	 4.4723e-33
5.00e+12	 4.5031e-33
1.00e+13	 4.5283e-33
2.00e+13	 4.5547e-33
5.00e+13	 4.5906e-33
