Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 2.2942e-37
2.00e+02	 4.4557e-37
5.00e+02	 1.0746e-36
1.00e+03	 2.0826e-36
2.00e+03	 3.9880e-36
5.00e+03	 9.0770e-36
1.00e+04	 1.6200e-35
2.00e+04	 2.7591e-35
5.00e+04	 5.1823e-35
1.00e+05	 7.9550e-35
2.00e+05	 1.1827e-34
5.00e+05	 1.9265e-34
1.00e+06	 2.7280e-34
2.00e+06	 3.8058e-34
5.00e+06	 5.7873e-34
1.00e+07	 7.8294e-34
2.00e+07	 1.0461e-33
5.00e+07	 1.5057e-33
1.00e+08	 1.9547e-33
2.00e+08	 2.5044e-33
5.00e+08	 3.3970e-33
1.00e+09	 4.1890e-33
2.00e+09	 5.0480e-33
5.00e+09	 6.1836e-33
1.00e+10	 6.9499e-33
2.00e+10	 7.5807e-33
5.00e+10	 8.1919e-33
1.00e+11	 8.5090e-33
2.00e+11	 8.7305e-33
5.00e+11	 8.9242e-33
1.00e+12	 9.0227e-33
2.00e+12	 9.0980e-33
5.00e+12	 9.1795e-33
